,S_No,Year,Month,Product_ID,Country,Sales
0,79100,2016,4,2,Belgium,1424461.6299999997
1,79101,2016,5,2,Belgium,1424461.6299999997
2,79102,2016,6,2,Belgium,1424461.6299999997
3,79103,2016,7,2,Belgium,1424461.6299999997
4,79104,2016,8,2,Belgium,1424461.6299999997
5,79105,2016,9,2,Belgium,1424461.6299999997
6,79106,2016,10,2,Belgium,1424461.6299999997
7,79107,2016,11,2,Belgium,1424461.6299999997
8,79108,2016,12,2,Belgium,1424461.6299999997
9,79109,2017,1,2,Belgium,1424461.6299999997
10,79110,2017,2,2,Belgium,1424461.6299999997
11,79111,2017,3,2,Belgium,1424461.6299999997
